Site,Location,Latitude,longitude,Region,UnitSub,Year
JB01,JBER,61.14944,-149.547,1,1,2019
JB02,JBER,61.14596,-149.534,1,1,2019
MV,Denali,63.43067603,-150.366498,1,1,2018
P002,Hatcher Pass,61.80948,-149.23418,1,1,2019
P003,Hatcher Pass,61.795912,-149.272744,1,1,2018
P005,Hatcher Pass,61.781319,-149.332478,1,1,2018
P007,Hatcher Pass,61.771669,-149.307037,1,1,2018
P008,Hatcher Pass,61.7676149,-149.347223,1,1,2018
P010A,Hatcher Pass,61.76157299,-149.323738,1,1,2019
P037,Steese,65.500575,-145.33842,1,1,2018
P038,Steese,65.494097,-145.441584,1,1,2018
P039,Steese,65.498644,-145.500423,1,1,2018
P042,Steese,65.483216,-145.401455,1,1,2018
P051,Steese,65.407041,-146.007,1,1,2018
P060,Steese,65.373228,-146.636898,1,1,2018
P063,Paxson,63.49724,-145.80457,1,1,2018
P092,Paxson,63.12284192,-146.2469075,1,1,2019
P094,Paxson,63.12132999,-146.18567,1,1,2019
P100,Paxson,63.08387999,-145.63512,1,1,2019
P111,Paxson,63.08770004,-146.3077,1,1,2019
P118,Paxson,63.08574,-146.36537,1,1,2018
P119,Paxson,63.08487073,-146.3910338,1,1,2019
P128,Paxson,63.074222,-146.231861,1,1,2018
P133,Denali,63.801632,-148.979144,1,1,2018
P135,Denali,63.748337,-148.872317,1,1,2018
P138,Denali,63.739354,-149.281669,1,1,2018
P146A,Denali,63.43659097,-150.316008,1,1,2018
P147,Denali,63.35586302,-148.376847,1,1,2019
P152A,Hatcher Pass,61.77111,-149.38722,1,1,2019
P153,Steese,65.363468,-146.565185,1,1,2018
P157,Steese,65.394559,-146.010144,1,1,2018
P250,Paxson,63.08475497,-146.412713,1,1,2018
P300,Hatcher Pass,61.81248601,-149.2166,1,1,2018
P301,Southcentral,60.76243596,-148.847649,1,1,2018
P302,Southcentral,61.04757104,-149.596296,1,1,2018
P303,Southcentral,61.093388,-149.664699,1,1,2018
P601,Southcentral,62.88168199,-149.688893,1,1,2019
P604,Thompson Pass,61.14130997,-145.75734,1,1,2019
P605A,Thompson Pass,61.15659999,-145.737699,1,1,2019
P609,Paxson,61.78226799,-147.6702842,1,1,2019
P612,Paxson,63.10763698,-146.106103,1,1,2019
P615,Southcentral,61.05958197,-149.115395,1,1,2019
P616,Southcentral,60.96205727,-149.0798976,1,1,2019
P617,Southcentral,61.06619303,-149.599522,1,1,2019
P618,Paxson,63.05550196,-145.587427,1,1,2019
P619,Denali,63.73997597,-149.247713,1,1,2019
Polychrome,Denali,63.53560698,-149.828615,1,1,2018
